Title,Date,Publisher,Description,Metadata
"(u'Delaware River Watershed Municipalities',)","(u'2016',)","(u'Natural Lands Trust',)","(u'Municipality boundaries for the Delaware River Watershed. The attribute information contains the municipality name, county name, and state name. The layer covers areas of New York, New Jersey, Pennsylvania, and Delaware.',)","(u'FullMetadataDisplay.aspx?file=DRWI_Municipalities2016.xml',)"
"(u'Home Health Agencies',)","(u'2012',)","(u'Pennsylvania Department of Health',)","(u""Pennsylvania home health agencies from the Department of Health's quality assurance database.  Current as of 11/16/06."",)","(u'FullMetadataDisplay.aspx?file=DOH_HomeHealthAgencies201210.xml',)"
"(u'West Virginia Cropland Data Layer (CDL) - raster 1:100,000',)","(u'2002',)","(u'U S Department of Agriculture',)","(u'The USDA-NASS 2002 West Virginia Cropland Data Layer (CDL) is a raster, geo-referenced, categorized land cover data layer produced using satellite imagery from the Thematic Mapper (TM) instrument on Landsat 5 and the Enhanced Thematic Mapper (ETM+) on Landsat 7. The imagery was collected between April 24, 2002 and September 12, 2002. The approximate scale is 1:100,000 with a ground resolution of 30 meters by 30 meters. The CDL emphasis is on agricultural land cover. The area of coverage is the entire State of West Virginia.\r\n\r\n      This land cover dataset is part of a one-time series in which ten Mid-Atlantic States were categorized based on the extensive field observations collected during the 2002 annual NASS June Agricultural Survey. No farmer reported data is included or derivable from the Cropland Data Layer. The area of coverage for the 2002 Mid-Atlantic CDL includes the entire states of Connecticut, Delaware, Maryland, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, Virginia and West Virginia. The funding for this project was shared between the USDA-NASS and Towson State University.\r\n\r\n      The 2002 Mid-Atlantic CDL is currently a special one-time project. However, the possibility does exist to establish an annual cropland data layer for any state that shows significant interest and can offer an in-state cooperative agreement with another federal, state, local, or university agency or group. If interested, please contact the Section Head of the USDA-NASS Spatial Analysis Research Section at 703/877-8000.\r\n\r\n      There are several additional Mid-Western States for which Cropland Data Layers are produced on an annual basis. The website below provides information and examples of all publicly available Cropland Data Layers:  http://www.nass.usda.gov/research/Cropland/SARS1a.htm',)","(u'FullMetadataDisplay.aspx?file=wv02nass.xml',)"
"(u'TIGER/Line Shapefile, 2009, 2000 state, Pennsylvania, Census 2000 State Legislative District (SLD) Upper Chamber',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaStateLegislativeDistrictUpperChamber2000.xml',)"
"(u'Geographic Names Information System (GNIS) for Alaska and Hawaii 2008',)","(u'2008',)","(u'U S Geological Survey',)","(u""The Geographic Names Information System (GNIS), developed by the U.S. Geological Survey in cooperation with the U.S. Board on Geographic Names (BGN), contains information about physical and cultural geographic features in the United States and associated areas, both current and historical, but not including roads and highways. The database also contains geographic names in Antarctica. The database holds the Federally recognized name of each feature and defines the location of the feature by state, county, USGS topographic map, and geographic coordinates. Other feature attributes include names or spellings other than the official name, feature designations, feature class, historical and descriptive information, and for some categories of features the geometric boundaries. The database assigns a unique feature identifier, a random number, that is a key for accessing, integrating, or reconciling GNIS data with other data sets. The GNIS is our Nation's official repository of domestic geographic feature names information."",)","(u'FullMetadataDisplay.aspx?file=GNIS_HI_AK200812.xml',)"
"(u'National Land Cover Dataset 1992 - Pennsylvania; Albers GeoTIFF',)","(u'1999',)","(u'U S Geological Survey',)","(u""These data can be used in a geographic information system (GIS) for any\r\nnumber of purposes such as assessing wildlife habitat, water quality,\r\npesticide runoff, land use change, etc.  The State data sets are provided\r\nwith a 300 meter buffer beyond the State border to facilitate combining\r\nthe State files into larger regions.\r\n\r\nThe user must have a firm understanding of how the datasets were compiled\r\nand the resulting limitations of these data.  The National Land Cover Dataset\r\nwas compiled from Landsat satellite TM imagery (circa 1992) with a spatial\r\nresolution of 30 meters and supplemented by various ancillary data (where\r\navailable). The analysis and interpretation of the satellite imagery was\r\nconducted using very large, sometimes multi-state image mosaics (i.e. up to 18\r\nLandsat scenes). Using a relatively small number of aerial photographs for\r\n'ground truth', the thematic interpretations were necessarily conducted from a\r\nspatially-broad perspective.  Furthermore, the accuracy assessments (see below)\r\ncorrespond to 'federal regions' which are groupings of contiguous states.  Thus,\r\nthe reliability of the data is greatest at the state or multi-state level. The\r\nstatistical accuracy of the data is known only for the region.\r\n\r\nImportant Caution Advisory\r\n\r\nWith this in mind, users are cautioned to carefully scrutinize the data to\r\nsee if they are of sufficient reliability before attempting to use the\r\ndataset for larger-scale or local analyses.  This evaluation must be made\r\nremembering that the NLCD represents conditions in the early 1990s.\r\n\r\nThe Pennsylvania portion of the NLCD was created as part of land cover\r\nmapping activities for Federal Region III that includes the States of\r\nMaryland, Delaware, Pennsylvania, Virginia, West Virginia, and the\r\nDistrict of Columbia.  The NLCD classification contains 21 different\r\nland cover categories with a spatial resolution of 30 meters.  The NLCD\r\nwas produced as a cooperative effort between the U.S. Geological Survey\r\n(USGS) and the U.S. Environmental Protection Agency (US EPA) to produce\r\na consistent, land cover data layer for the conterminous U.S. using\r\nearly 1990s Landsat thematic mapper (TM) data purchased by the\r\nMulti-resolution Land Characterization (MRLC) Consortium.  The MRLC\r\nConsortium is a partnership of federal agencies that produce or use land\r\ncover data.  Partners include the USGS (National Mapping, Biological\r\nResources, and Water Resources Divisions), US EPA, the U.S. Forest Service,\r\nand the National Oceanic and Atmospheric Administration."",)","(u'FullMetadataDisplay.aspx?file=nlcd_pa_tiff_alb.xml',)"
"(u'Streams Chapter 93 Designated Use',)","(u'2017',)","(u'Pennsylvania Department of Environmental Protection',)","(u'National Hydrography Dataset NHDFlowline layer with a spatial representation of designated water uses defined in Title 25 Environmental Protection, Department of Environmental Protection, Chapter 93, Water Quality Standards.  The Pennsylvania Code just cited provides a list of all streams or watersheds (basins) in the state along with their associated designated water uses.  This GIS layer displays these uses spatially on an interactive stream map.  Public users can drill down to locations on the map to view and map the designated uses of the water bodies of interest.  The layer can also be used in conjunction with other spatially referenced data for spatial analyses.',)","(u'FullMetadataDisplay.aspx?file=StreamsCH93DesignatedUse2017_02.xml',)"
"(u'TIGER/Line Shapefile, 2009, state, Pennsylvania, 2002 5-Digit ZIP Code Tabulation Area (ZCTA5) State-based Shapefile',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_Pennsylvania5Digit2009.xml',)"
"(u'Ambient and fixed station network groundwater monitoring point data (1985 - 1998)',)","(u'1999',)","(u'Pennsylvania Department of Environmental Protection',)","(u'This coverage represents the point locations and data for 1,106 groundwater\r\nquality monitoring points sampled under the PA DEP Fixed Station\r\nNetwork (FSN) and Ambient Survey groundwater monitoring program.\r\nSample data were collected from August 1985 to December 1998.  Monitoring\r\npoints were typically homeowner wells, springs, public water supplies, or industrial\r\nwells. Locations were chosen to represent regional background conditions\r\nwithin a groundwater basin. Samples were collected by prioritized\r\ngroundwater basins.  Monitoring points represent some of the top 100\r\npriority basins of the 478 groundwater basins.  Monitoring points were\r\nanalyzed for 27 different analytes including pH, alkalinity, total dissolved\r\nsolids, ammonia nitrogen, nitrite nitrogen, nitrate nitrogen, phosphorus,\r\ntotal organic carbon, total hardness, calcium, magnesium, sodium,\r\npotassium, chloride, sulfate, silica, arsenic, barium, cadmium, chromium,\r\ncopper, iron, lead, manganese, zinc, mercury, and turbidity.  Data for\r\nalkalinity through silica are in mg/L, whereas values listed for arsenic\r\nthrough mercury are in ug/L.  Turbidity is in NTUs. PH is a laboratory pH value.\r\nAnalyte values listed with the coverage are means.  Monitoring points have been\r\nsampled up to 34 times. Trend analysis results are included for 474 monitoring\r\npoints by parameter.  The Kendall Tau rank correlation test was used to test for trends\r\nin ground water quality over time.  This test is a nonparametric procedure that is\r\nsimilar to the standard correlation coefficient to assess the presence of a relationship\r\nbetween variables. The Kendall Tau value represents a probability that there is a\r\nrelationship between two variables. A significance level of .05 was used with the\r\ncalculated Kendall Tau correlation coefficients. Trend analysis was performed on\r\nmonitoring points using SAS statistical software.',)","(u'FullMetadataDisplay.aspx?file=groundwatermonitoring1999.xml',)"
"(u'Quadrangle Boundaries for the continental United States',)","(u'2002',)","(u'U S Geological Survey',)","(u'Quadrangle Boundaries for the continental United States and Hawaii',)","(u'FullMetadataDisplay.aspx?file=US_QuadBounds24kgrid.xml',)"
"(u'Juniata Subbasin',)","(u'2006',)","(u'Susquehanna River Basin Commission SRBC',)","(u'Polygon shapefile of the Juniata Subbasin.  This file was created from the 2006 subbasin.shp SRBC dataset.',)","(u'FullMetadataDisplay.aspx?file=sub_juni_SRBC.xml',)"
"(u'Stratification of West Virginia',)","(u'2002',)","(u'U S Department of Agriculture',)","(u'The United States Department of Agriculture (USDA), National Agricultural Statistics Service (NASS) area sampling frame is a delineation of all parcels of land for the purpose of later sampling the parcels. The area frame is constructed by visually interpreting satellite imagery to divide a state into homogenous land use areas (strata) based on percent cultivated. The strata are typically defined as low, medium or high percent cultivated, non-agricultural land, urban use, agri-urban, or water. The boundaries of the strata usually follow identifiable features such as roads, railroads and waterways. The strata boundaries do not coincide with any political boundaries, with the exception of state boundaries.',)","(u'FullMetadataDisplay.aspx?file=usdawv_strata2002.xml',)"
"(u'Delaware Water Gap Color Infra-Red Photos',)","(u'2000',)","(u'U S Geological Survey',)","(u'aerial photography of the Delaware Water Gap including the surrounding watersheds and tributaries',)","(u'FullMetadataDisplay.aspx?file=delawaregap_imagery.xml',)"
"(u'Municipal Waste Operations',)","(u'2018',)","(u'Pennsylvania Department of Environmental Protection',)","(u'A Municipal Waste Operation is a DEP primary facility type related to the Waste Management Municipal Waste Program. The sub-facility types related to Municipal Waste Operations that are included are: Composting:\r\n\r\nIncludes facilities that use land for processing municipal waste by composting. Composting is a process that biologically decomposes organic waste under controlled anaerobic or aerobic conditions to yield a humus-like product.\r\n\r\nLand Application:\r\n\r\nIncludes facilities that uses agricultural utilization or land reclamation of waste. Sewage sludge is land-applied for its nutrient value or as a soil conditioner.\r\n\r\nLandfill - Abandoned:\r\n\r\nThe Abandoned Landfill Inventory Project collects geospatial and descriptive data for closed and abandoned landfills throughout the state of Pennsylvania. Locations for sites were determined from historic records such as microfiche, index card, topographic map, and staff personal files, and then compiled into site lists. Each of the six DEP regions is staffed with summer interns who physically locate the sites and collect the data for the project.\r\n\r\nThe purpose of the Abandoned Landfill Inventory Project is to determine the location of abandoned and closed landfills in order to catalog potential environmental hazards. The data is intended for internal government and public consumption, in order to keep property sales, clean-up efforts, and land development well informed.\r\n\r\nFor metadata on the ALI Project, see Abandoned Landfill Metadata. \r\n\r\nLandfill:\r\n\r\nA landfill is a facility that uses land for the disposal of municipal waste.\r\n\r\nProcessing Facility:\r\n\r\nA processing facility is a transfer station, composting facility, resource recovery facility, or a facility that reduces the volume or bulk of municipal waste for offsite reuse.\r\n\r\nResource Recovery:\r\n\r\nA resource recovery is a facility that provides for the extraction and utilization of materials or energy from municipal waste. The facility can be a mechanical extraction facility or a combustion facility.\r\n\r\nTransfer Station:\r\n\r\nA transfer station is a facility that receives and processes or temporarily stores municipal waste at a location other than the generation site. This sub-facility facilitates the transportation or transfer of municipal waste to a processing or disposal facility.',)","(u'FullMetadataDisplay.aspx?file=MunicipalWasteOperations2018_01.xml',)"
"(u'Pennsylvania municipalities with NPDES MS4 permits or waivers',)","(u'2012',)","(u'Pennsylvania Department of Environmental Protection',)","(u'Pennsylvania municipalities with NPDES MS4 permits or waivers, have been identified by the Pennsylvania Department of Environmental Protection.  Attribute data indicates whether the municipality holds a general or individual NPDES MS4 permit (PAG-13), or whether the municipality qualified for a waiver from the permitting requirement.',)","(u'FullMetadataDisplay.aspx?file=MS4_Municipalities201201.xml',)"
"(u'National Land Cover Database 2001 - Tree Canopy Layer - Western Pennsylvania and Ohio',)","(u'2004',)","(u'U S Geological Survey',)","(u'The National Land Cover Database 2001 tree canopy layer for mapping zone 47 was produced through a cooperative project conducted by the Multi-Resolution Land Characteristics (MRLC) Consortium.  The MRLC Consortium is a partnership of federal agencies (www.mrlc.gov), consisting of the U.S. Geological Survey (USGS), the National Oceanic and Atmospheric Administration (NOAA), the U.S. Environmental Protection Agency (EPA), the U.S. Department of Agriculture (USDA), the U.S. Forest Service (USFS), the National Park Service (NPS), the U.S. Fish and Wildlife Service (FWS), the Bureau of Land Management (BLM) and the USDA Natural Resources Conservation Service (NRCS).  One of the primary goals of the project is to generate a current, consistent, seamless, and accurate National Land cover Database (NLCD) circa 2001 for the United States at medium spatial resolution.  For a detailed definition and discussion on MRLC and the NLCD 2001 products, refer to Homer et al. (2003) and http://www.mrlc.gov/mrlc2k.asp.\r\n\r\nThe NLCD 2001 was created by partitioning the U.S. into mapping zones.  A total of 66 mapping zones were delineated within the conterminous U.S. based on ecoregion and geographical characteristics, edge matching features and the size requirement of Landsat mosaics.  Mapping zone 47 encompasses whole or portions of several states including the states of Kentucky, Indiana, Ohio, Tennessee, and Missouri. Questions about the NLCD mapping zone 47 can be directed to the NLCD 2001 land cover mapping team at the National Center, EROS, Sioux Falls, SD (605) 594-6151 or mrlc@usgs.gov.',)","(u'FullMetadataDisplay.aspx?file=canopy11_westernpa_ohio_3k_022007.xml',)"
"(u'Total Maximum Daily Load (TMDL)',)","(u'2018',)","(u'Pennsylvania Department of Environmental Protection',)","(u'The Clean Water Act Section 303(d) establishes the Total Maximum Daily Load (TMDL) program. The purpose of the TMDL program is to identify sources of pollution and allocate pollutant loads in places where water quality goals are not being achieved.  This layer shows the list of waters for which technology-based or other required pollution controls are not stringent enough to meet water quality standards.  The TMDLs themselves specify a pollutant budget that must be achieved to meet state water quality standards and allocates pollutant loads among pollution sources in a watershed, e.g., point and nonpoint sources.\r\nTMDLs can be developed for several categories such as: point sources (permitted sewage and industrial discharges); nonpoint sources (agriculture and urban runoff); lakes; abandoned mine drainage (also called acid mine drainage or AMD); specific bioaccumulative chemicals (PCBs and chlordane that contaminate fish, resulting in fish advisories limiting or banning the number of fish that a person can safely consume); and complex situations (combinations of different types).\r\nThis layer is based on the High Resolution National Hydrography Dataset (NHD).  The Lake TMDLs are not included in this layer.',)","(u'FullMetadataDisplay.aspx?file=TotalMaximumDailyLoad2018_01.xml',)"
"(u'Prime Farmlands of the Chesapeake Bay Watershed Region',)","(u'2000',)","(u'Chesapeake Bay Program',)","(u'Shapefile and raster layers paired with STATSGO data from NRCS to determine prime farmland within the Chesapeake Bay watershed. MORE INFORMATION -',)","(u'FullMetadataDisplay.aspx?file=chesapeakebayprimefarmland.xml',)"
"(u'TIGER/Line Shapefile, 2009, state, Pennsylvania, Military Installation State-based Shapefile',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaMilitaryInstallation2009.xml',)"
"(u'',)","(u'',)","(u'',)","(u'Mapping Area polygon - High resolution land cover dataset for the Delaware River Basin, an area comprised of parts of six counties in the state of New York and four counties in Pennsylvania. Seven land cover classes were mapped: (1) tree canopy, (2) grass/shrub, (3) bare earth, (4) water, (5) buildings, (6) roads, and (7) other paved surfaces. The minimum mapping unit for the delineation of features was set at six square meters. The primary sources used to derive this land cover layer were 2008 LiDAR data and 2010 - 2011 NAIP imagery. LiDAR coverage was complete for the Pennsylvaia portion of the AOI, however, LiDAR was unavailable for large portions of the New York portion. Where LiDAR was not available, imagery was the primary data source. Ancillary data sources included GIS data (eg. such as hydrology, breakline and buildings) provided by the counties of Lackawana, Monroe, Pike and Wayne, PA, as well as the New York State GIS Clearinghouse. Some of these vector datasets were edited by the UVM Spatial Analysis lab through manual interpretation. Other datasets, such as bare soil, were created by the UVM Spatial Anyslsis Lab in order to assist in landcover creation. This land cover dataset is considered current for Pennsylvania portion of the study area as of summer 2010. The dataset is current as of summer 2011 for the New York counties of Chenango, Delaware, Orange and Sullivan. Broome County, NY, is considered current as of summer 2010. Ulster County, NY, employed data from both summer 2010 and summer 2011, therefore currentness varies throughout the county. Object-based image analysis techniques (OBIA) were employed to extract land cover information using the best available remotely sensed and vector GIS datasets. OBIA systems work by grouping pixels into meaningful objects based on their spectral and spatial properties, while taking into account boundaries imposed by existing vector datasets. Within the OBIA environment a rule-based expert system was designed to effectively mimic the process of manual image analysis by incorporating the elements of image interpretation (color/tone, texture, pattern, location, size, and shape) into the classification process. A series of morphological procedures were employed to insure that the end product is both accurate and cartographically pleasing. No accuracy assessment was conducted, but the dataset was subject to a thorough manual quality control.',)","(u'FullMetadataDisplay.aspx?file=LandCover_MappingArea_2010_DRBC.xml',)"
"(u'Stormwater 167',)","(u'2018',)","(u'Pennsylvania Department of Environmental Protection',)","(u'Stormwater management involves the control of water that runs off the surface of the land from rain or melting ice or snow. The volume, or amount of runoff and its rate of runoff, substantially increase as land development occurs. Construction of impervious surfaces, such as roofs and parking lots, and the installation of storm sewer pipes which efficiently collect and discharge runoff, prevent the infiltration of rainfall into the soil. Management of stormwater is necessary to compensate for the possible impacts of development such as frequent flooding, erosion and sedimentation problems, concentration of flow on adjacent properties, damages to roads, bridges and other infrastructure as well as non-point source pollution washed off from impervious surfaces. The Pennsylvania legislature enacted the Storm Water Management Act (No.167) in 1978 to authorize a program of comprehensive watershed stormwater management which retains local implementation and enforcement of stormwater ordinances similar to local responsibility of administration of subdivision and land development regulations. Under the Act, the Department of Environmental Protection (DEP) provides grant money to counties to develop stormwater management plans for designated watersheds. This planning effort results in the incorporation of sound engineering standards and criteria into local codes and ordinances to manage runoff from new development in a coordinated, watershed-wide approach. Counties develop stormwater plans for each of their watersheds within their boundaries. DEP develops grant agreements with counties to pay for 75 percent of the cost to prepare the plans. Upon completion of a plan by a county and approval by DEP, municipalities located in the watershed adopt ordinances consistent with the plan. Developers are then required to follow the local drainage regulations that incorporate the standards of the watershed plan when preparing their land development plan. Although not all watersheds have been studied, developers in non-studied areas are still required to follow any local drainage regulations adopted under the Municipalities Planning Code. County boundaries within Pennsylvania as delineated for the PennDOT Type 10 general highway map.',)","(u'FullMetadataDisplay.aspx?file=Stormwater167_2018_01.xml',)"
"(u'Office locations',)","(u'2017',)","(u'Pennsylvania Game Commission',)","(u'Office locations',)","(u'FullMetadataDisplay.aspx?file=PGC_Offices2017.xml',)"
"(u'Digital Orthophoto (DOQQ - quarter-quadrangle) for West Virginia 1997',)","(u'1997',)","(u'U S Geological Survey',)","(u""Orthophotos combine the image characteristics of a\r\nphotograph with the geometric qualities of a map. The\r\nprimary digital orthophotoquad (DOQ) is a 1-meter ground\r\nresolution, quarter-quadrangle (3.75-minutes of latitude\r\nby 3.75-minutes of longitude) image cast on the Universal\r\nTransverse Mercator Projection (UTM) on the North\r\nAmerican Datum of 1983 (NAD83).The geographic extent of\r\nthe DOQ is equivalent to a quarter-quad plus The overedge\r\nranges a minimum of 50 meters to a maximum of 300 meters\r\nbeyond the extremes of the primary and secondary corner\r\npoints. The overedge is included to facilitate tonal\r\nmatching for mosaicking and for the placement of the NAD83\r\nand secondary datum corner ticks. The normal orientation\r\nof data is by lines (rows) and samples (columns). Each\r\nline contains a series of pixels ordered from west to\r\neast with the order of the lines from north to south.\r\nThe standard, archived digital orthophoto is formatted as\r\nfour ASCII header records, followed by a series of 8-bit\r\nbinary image data records. The radiometric image\r\nbrightness values are stored as 256 gray levels ranging\r\nfrom 0 to 255. The metadata embedded in the digital\r\northophoto contain a wide range of descriptive\r\ninformation including format source information,\r\nproduction instrumentation and dates, and data to assist\r\nwith displaying and georeferencing the image. \r\nDOQ images are acquired as a part of the USGS' National Aerial Photography Program (NAPP).\r\nThrough NAPP imagery for each state is produced on a 7 year cycle.\r\n These images are the NAPP III cycle which will run from 1997-2001\r\nThese DOQQ's are distributed through PASDA as GeoTIFF images as received from USGS."",)","(u'FullMetadataDisplay.aspx?file=doqq97_WV.xml',)"
"(u'TIGER/Line Shapefile, 2009, 2000 state, Pennsylvania, Census 2000 County and Equivalent State-based',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaEconomicCensusCounty2000.xml',)"
"(u'Isolines for the 30-Year Precipitation dataset (1971-2000) for the Susquehanna River Basin',)","(u'2006',)","(u'Susquehanna River Basin Commission SRBC',)","(u""Isoline shapefile created from the 1971-2000 precipitation raster dataset from the Spatial Climate Analysis Service, Oregon State University.  This file should be used in conjunction with the 30 Year Precipitation dataset (1971-2000) for the Susquehanna River Basin (2006 boundary).  \r\nThe attribute field for inches has been interpolated from the raster's GRIDCODE field.  The inch values should be viewed as approximate.  The conversion is listed in the Entity Attribute Overview section of the document.  This section also lists the correct conversion for the 30 Year Precipitation dataset (1971-2000) for the Susquehanna River Basin."",)","(u'FullMetadataDisplay.aspx?file=precip_iso_SRBC.xml',)"
"(u'Unsuitable Mining',)","(u'2013',)","(u'Pennsylvania Department of Environmental Protection',)","(u'Areas of PA that are unsuitable for mining purposes',)","(u'FullMetadataDisplay.aspx?file=UnsuitableMining2013_06.xml',)"
"(u'Stratification of New Jersey',)","(u'2002',)","(u'U S Department of Agriculture',)","(u'The United States Department of Agriculture (USDA), National Agricultural Statistics Service (NASS) area sampling frame is a delineation of all parcels of land for the purpose of later sampling the parcels. The area frame is constructed by visually interpreting satellite imagery to divide a state into homogenous land use areas (strata) based on percent cultivated. The strata are typically defined as low, medium or high percent cultivated, non-agricultural land, urban use, agri-urban, or water. The boundaries of the strata usually follow identifiable features such as roads, railroads and waterways. The strata boundaries do not coincide with any political boundaries, with the exception of state boundaries.',)","(u'FullMetadataDisplay.aspx?file=usdanj_strata2002.xml',)"
"(u'Stratification of Pennsylvania',)","(u'2002',)","(u'U S Department of Agriculture',)","(u'The United States Department of Agriculture (USDA), National\r\n      Agricultural Statistics Service (NASS) area sampling frame is a\r\n      delineation of all parcels of land for the purpose of later sampling the parcels. The area frame is constructed by visually interpreting satellite\r\n      imagery to divide a state into homogenous land use areas (strata) based\r\n      on percent cultivated.  The strata are typically defined as low, medium or\r\n      high percent cultivated, non-agricultural land, urban use, agri-urban, or\r\n      water.  The boundaries of the strata usually follow identifiable features\r\n      such as roads, railroads and waterways.  The strata boundaries do not\r\n      coincide with any political boundaries, with the exception of state\r\n      boundaries.',)","(u'FullMetadataDisplay.aspx?file=usdapa_strata2002.xml',)"
"(u'Chester County Wetlands - Point',)","(u'1997',)","(u'U S Fish and Wildlife Service',)","(u""NWI digital data files are records of wetlands location and classification as defined by the U.S. Fish & Wildlife Service.  This dataset is a compilation of the 7.5 minute blocks containing ground planimetric coordinates of wetlands point, line, and area features and wetlands attributes for Chester County. The digital data as well as the hardcopy maps that were used as the source for the digital data are produced and distributed by the U.S. Fish and Wildlife Service's National Wetlands Inventory project."",)","(u'FullMetadataDisplay.aspx?file=chestercountywetlandspolygon.xml',)"
"(u'Cooperative Nurseries',)","(u'2017',)","(u'Pennsylvania Fish and Boat Commission',)","(u'This GIS layer contains locations of nurseries that participate in the Commission\'s Cooperative Nursery Program, ""Coops"" supplement the Commission\'s stocking program. For more information about the Cooperative Nursery Program, contact the Commission\'s Coordinator, Cecil Houser, chouser@state.pa.us or 814-359-5124.',)","(u'FullMetadataDisplay.aspx?file=CooperativeNurseries201708.xml',)"
"(u'TIGER/Line Shapefile, 2009, state, Pennsylvania, Current Combined Statistical Area (CSA) State-based',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaCurrentCombinedStatisticalArea2009.xml',)"
"(u'DOH Trauma Hospitals 45Min Drive Time Polygons',)","(u'2012',)","(u'Pennsylvania Department of Health',)","(u""These polygons represent 45-minute drive-time polygons to Pennsylvania's trauma hospitals (accredited by the PA Trauma Systems Foundation)."",)","(u'FullMetadataDisplay.aspx?file=DOH_Trauma_Hospitals_45_Min_Drive_Time_Polygons.xml',)"
"(u'Cultural Assessment of the Chesapeake Bay Watershed',)","(u'2000',)","(u'Chesapeake Bay Program',)","(u""Multiple TIFF and layer files pertaining to Cultural Assessment of the Chesapeake Bay watershed Growth and development not only threaten lands of high value for water quality and habitat, but also cultural lands that directly connect many citizens in the Bay watershed to the land. Important in preserving heritage and traditional values, cultural lands often define sense of place. The objective of the cultural assessment is to identify lands that provide cultural assets and further inform preservation efforts with spatial information about cultural lands. This spatial information about cultural resources can provide an added value to land preservation because cultural lands provide a historic perspective for interpreting land and people's relationship with it. Additionally, the value of an historic or cultural site is often intrinsically tied to the landscape context in which it is located. MORE INFORMATION -"",)","(u'FullMetadataDisplay.aspx?file=chesapeakebayculturalassets.xml',)"
"(u'Regional Headquarters',)","(u'2017',)","(u'Pennsylvania Fish and Boat Commission',)","(u'Regional Pennsylvania Fish and Boat Commission Bureau of Law Enforcement office locations.',)","(u'FullMetadataDisplay.aspx?file=RegionalHeadquarters201708.xml',)"
"(u'TIGER/Line Shapefile, 2009, 2000 state, Pennsylvania, Census 2000 Public Use Microdata Area (PUMA)',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaPublicUseMicrodataArea2000.xml',)"
"(u'TIGER/Line Shapefile, 2009, 2000 state, Pennsylvania, Census 2000 Census Tract State-based',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaTract2000.xml',)"
"(u'Historical Map Collection for Lancaster County',)","(u'1900',)","(u'Lancaster County',)","(u'Historical maps in TIFF format of Lancaster County',)","(u'FullMetadataDisplay.aspx?file=lancastercountyhistoricalmaps.xml',)"
"(u'New Jersey municipal boundaries',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'New Jersey municipal boundaries',)","(u'FullMetadataDisplay.aspx?file=nj_mun_polygon.xml',)"
